Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Quartile Number,Suppression Flag
Public Health Insurance Coverage,By State,Utah,Utah,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.3,10.2,16.9,10.2 - 16.9,13.1-19.4,1,
Public Health Insurance Coverage,By State,Vermont,Vermont,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.5,18.5,33.6,18.5 - 33.6,23.3-26.2,3,
Public Health Insurance Coverage,By State,Virginia,Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.5,16.3,27.4,16.3 - 27.4,19.5-23.2,2,
Public Health Insurance Coverage,By State,Washington,Washington,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.9,17.6,24.5,17.6 - 24.5,19.5-23.2,2,
Public Health Insurance Coverage,By State,West Virginia,West Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.9,26.3,37.9,26.3 - 37.9,26.3-40.3,4,
Public Health Insurance Coverage,By State,Wisconsin,Wisconsin,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.7,17.8,25.9,17.8 - 25.9,19.5-23.2,2,
Public Health Insurance Coverage,By State,Wyoming,Wyoming,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.1,8.6,18.9,8.6 - 18.9,13.1-19.4,1,
Private Health Insurance Coverage,National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,77.3,76.4,78.2,76.4 - 78.2,,,
Private Health Insurance Coverage,By Age,United States,18 - 24 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.8,72.2,80.9,72.2 - 80.9,,,
Private Health Insurance Coverage,By Age,United States,25 - 34 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,73.2,71.1,75.3,71.1 - 75.3,,,
Private Health Insurance Coverage,By Age,United States,35 - 44 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.6,74.7,78.5,74.7 - 78.5,,,
Private Health Insurance Coverage,By Age,United States,45 - 64 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.7,78.7,80.8,78.7 - 80.8,,,
Private Health Insurance Coverage,By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.7,78.2,81.2,78.2 - 81.2,,,
Private Health Insurance Coverage,By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.0,73.9,76.1,73.9 - 76.1,,,
Private Health Insurance Coverage,By Gender identity,United States,Cis-gender male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.2,78.6,81.7,78.6 - 81.7,,,
Private Health Insurance Coverage,By Gender identity,United States,Cis-gender female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.2,74.1,76.3,74.1 - 76.3,,,
Private Health Insurance Coverage,By Gender identity,United States,Transgender,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,72.7,61.5,82.1,61.5 - 82.1,,,
Private Health Insurance Coverage,By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.0,71.6,80.1,71.6 - 80.1,,,
Private Health Insurance Coverage,By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.3,77.3,79.3,77.3 - 79.3,,,
Private Health Insurance Coverage,By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,71.1,67.2,74.8,67.2 - 74.8,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,66.8,63.8,69.6,63.8 - 69.6,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,81.6,80.7,82.5,80.7 - 82.5,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,69.3,66.1,72.4,66.1 - 72.4,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,85.4,82.3,88.1,82.3 - 88.1,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,69.8,65.7,73.8,65.7 - 73.8,,,
Private Health Insurance Coverage,By Education,United States,Less than a high school diploma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,50.4,43.2,57.5,43.2 - 57.5,,,
Private Health Insurance Coverage,By Education,United States,High school diploma or GED,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,66.8,64.4,69.1,64.4 - 69.1,,,
Private Health Insurance Coverage,By Education,United States,Some college/Associate's degree,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.8,75.5,78.2,75.5 - 78.2,,,
Private Health Insurance Coverage,By Education,United States,Bachelor's degree or higher,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,91.4,90.8,92.0,90.8 - 92.0,,,
Private Health Insurance Coverage,By Disability status,United States,With disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,59.9,56.3,63.4,56.3 - 63.4,,,
Private Health Insurance Coverage,By Disability status,United States,Without disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.5,79.4,81.4,79.4 - 81.4,,,
Private Health Insurance Coverage,By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.8,72.2,81.0,72.2 - 81.0,75.1-78.3,2,
Private Health Insurance Coverage,By State,Alaska,Alaska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,74.3,69.7,78.6,69.7 - 78.6,66.4-75.0,1,
Private Health Insurance Coverage,By State,Arizona,Arizona,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,77.8,72.0,82.9,72.0 - 82.9,75.1-78.3,2,
Private Health Insurance Coverage,By State,Arkansas,Arkansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.2,68.8,81.0,68.8 - 81.0,75.1-78.3,2,
Private Health Insurance Coverage,By State,California,California,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.1,70.7,79.1,70.7 - 79.1,75.1-78.3,2,
Private Health Insurance Coverage,By State,Colorado,Colorado,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,81.0,77.5,84.2,77.5 - 84.2,80.8-89.0,4,
Private Health Insurance Coverage,By State,Connecticut,Connecticut,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.7,76.0,84.9,76.0 - 84.9,78.4-80.7,3,
Private Health Insurance Coverage,By State,Delaware,Delaware,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.8,74.0,84.8,74.0 - 84.8,78.4-80.7,3,
Private Health Insurance Coverage,By State,District of Columbia,District of Columbia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.1,71.8,83.6,71.8 - 83.6,75.1-78.3,2,
Private Health Insurance Coverage,By State,Florida,Florida,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.6,70.6,80.0,70.6 - 80.0,75.1-78.3,2,
Private Health Insurance Coverage,By State,Georgia,Georgia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.9,70.6,82.5,70.6 - 82.5,75.1-78.3,2,
Private Health Insurance Coverage,By State,Hawaii,Hawaii,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.7,69.0,86.5,69.0 - 86.5,78.4-80.7,3,
Private Health Insurance Coverage,By State,Idaho,Idaho,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,74.1,68.3,79.4,68.3 - 79.4,66.4-75.0,1,
Private Health Insurance Coverage,By State,Illinois,Illinois,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.8,71.2,80.1,71.2 - 80.1,75.1-78.3,2,
Private Health Insurance Coverage,By State,Indiana,Indiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.2,72.6,83.1,72.6 - 83.1,75.1-78.3,2,
Private Health Insurance Coverage,By State,Iowa,Iowa,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.4,72.6,83.4,72.6 - 83.4,78.4-80.7,3,
Private Health Insurance Coverage,By State,Kansas,Kansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,83.1,78.2,87.4,78.2 - 87.4,80.8-89.0,4,
Private Health Insurance Coverage,By State,Kentucky,Kentucky,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,70.6,64.2,76.4,64.2 - 76.4,66.4-75.0,1,
Private Health Insurance Coverage,By State,Louisiana,Louisiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,66.5,59.6,73.0,59.6 - 73.0,66.4-75.0,1,
Private Health Insurance Coverage,By State,Maine,Maine,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,70.3,62.7,77.1,62.7 - 77.1,66.4-75.0,1,
Private Health Insurance Coverage,By State,Maryland,Maryland,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,77.8,72.2,82.8,72.2 - 82.8,75.1-78.3,2,
Private Health Insurance Coverage,By State,Massachusetts,Massachusetts,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,83.5,79.0,87.3,79.0 - 87.3,80.8-89.0,4,
Private Health Insurance Coverage,By State,Michigan,Michigan,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.3,73.7,82.5,73.7 - 82.5,75.1-78.3,2,
Private Health Insurance Coverage,By State,Minnesota,Minnesota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.8,76.7,84.6,76.7 - 84.6,80.8-89.0,4,
Private Health Insurance Coverage,By State,Mississippi,Mississippi,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,71.5,64.3,77.9,64.3 - 77.9,66.4-75.0,1,
Private Health Insurance Coverage,By State,Missouri,Missouri,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.8,68.2,82.4,68.2 - 82.4,75.1-78.3,2,
Private Health Insurance Coverage,By State,Montana,Montana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,72.4,65.9,78.2,65.9 - 78.2,66.4-75.0,1,
Private Health Insurance Coverage,By State,Nebraska,Nebraska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,83.6,79.0,87.6,79.0 - 87.6,80.8-89.0,4,
Private Health Insurance Coverage,By State,Nevada,Nevada,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,72.6,67.4,77.5,67.4 - 77.5,66.4-75.0,1,
Private Health Insurance Coverage,By State,New Hampshire,New Hampshire,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,85.3,78.4,90.6,78.4 - 90.6,80.8-89.0,4,
Private Health Insurance Coverage,By State,New Jersey,New Jersey,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.7,73.7,83.1,73.7 - 83.1,78.4-80.7,3,
Private Health Insurance Coverage,By State,New Mexico,New Mexico,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,66.4,62.3,70.3,62.3 - 70.3,66.4-75.0,1,
Private Health Insurance Coverage,By State,New York,New York,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.2,74.9,84.8,74.9 - 84.8,78.4-80.7,3,
Private Health Insurance Coverage,By State,North Carolina,North Carolina,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,76.8,71.2,81.8,71.2 - 81.8,75.1-78.3,2,
Private Health Insurance Coverage,By State,North Dakota,North Dakota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,83.4,75.6,89.6,75.6 - 89.6,80.8-89.0,4,
Private Health Insurance Coverage,By State,Ohio,Ohio,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.7,75.2,83.7,75.2 - 83.7,78.4-80.7,3,
Private Health Insurance Coverage,By State,Oklahoma,Oklahoma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,74.9,70.3,79.1,70.3 - 79.1,66.4-75.0,1,
Private Health Insurance Coverage,By State,Oregon,Oregon,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,72.4,68.3,76.2,68.3 - 76.2,66.4-75.0,1,
Private Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.5,72.4,85.5,72.4 - 85.5,78.4-80.7,3,
Private Health Insurance Coverage,By State,Rhode Island,Rhode Island,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.7,75.2,85.5,75.2 - 85.5,78.4-80.7,3,
Private Health Insurance Coverage,By State,South Carolina,South Carolina,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.3,72.8,83.1,72.8 - 83.1,75.1-78.3,2,
Private Health Insurance Coverage,By State,South Dakota,South Dakota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,81.8,72.3,89.2,72.3 - 89.2,80.8-89.0,4,
Private Health Insurance Coverage,By State,Tennessee,Tennessee,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,82.1,76.6,86.7,76.6 - 86.7,80.8-89.0,4,
Private Health Insurance Coverage,By State,Texas,Texas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,75.0,71.0,78.8,71.0 - 78.8,66.4-75.0,1,
Private Health Insurance Coverage,By State,Utah,Utah,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,89.0,86.0,91.5,86.0 - 91.5,80.8-89.0,4,
Private Health Insurance Coverage,By State,Vermont,Vermont,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,81.2,74.0,87.1,74.0 - 87.1,80.8-89.0,4,
Private Health Insurance Coverage,By State,Virginia,Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.9,74.5,84.5,74.5 - 84.5,78.4-80.7,3,
Private Health Insurance Coverage,By State,Washington,Washington,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,79.4,75.7,82.9,75.7 - 82.9,78.4-80.7,3,
Private Health Insurance Coverage,By State,West Virginia,West Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,71.9,66.6,76.8,66.6 - 76.8,66.4-75.0,1,
Private Health Insurance Coverage,By State,Wisconsin,Wisconsin,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,80.0,75.4,84.1,75.4 - 84.1,78.4-80.7,3,
Private Health Insurance Coverage,By State,Wyoming,Wyoming,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,78.9,71.0,85.4,71.0 - 85.4,78.4-80.7,3,
Uninsured at the Time of Interview,National Estimate,United States,United States,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,10.0,9.3,10.8,9.3 - 10.8,,,
Uninsured at the Time of Interview,By Age,United States,18 - 24 years,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,12.9,9.9,16.5,9.9 - 16.5,,,
Uninsured at the Time of Interview,By Age,United States,25 - 34 years,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,13.4,11.5,15.6,11.5 - 15.6,,,
Uninsured at the Time of Interview,By Age,United States,35 - 44 years,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,10.3,8.7,12.0,8.7 - 12.0,,,
Uninsured at the Time of Interview,By Age,United States,45 - 64 years,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.7,7.0,8.5,7.0 - 8.5,,,
Uninsured at the Time of Interview,By Sex,United States,Male,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,11.4,10.2,12.7,10.2 - 12.7,,,
Uninsured at the Time of Interview,By Sex,United States,Female,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,8.8,8.0,9.7,8.0 - 9.7,,,
Uninsured at the Time of Interview,By Gender identity,United States,Cis-gender male,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,11.0,9.8,12.3,9.8 - 12.3,,,
Uninsured at the Time of Interview,By Gender identity,United States,Cis-gender female,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,8.8,8.0,9.7,8.0 - 9.7,,,
Uninsured at the Time of Interview,By Gender identity,United States,Transgender,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,,,1
Uninsured at the Time of Interview,By Sexual orientation,United States,Gay or lesbian,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.5,4.8,11.0,4.8 - 11.0,,,
Uninsured at the Time of Interview,By Sexual orientation,United States,Straight,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9.7,8.9,10.6,8.9 - 10.6,,,
Uninsured at the Time of Interview,By Sexual orientation,United States,Bisexual,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,12.0,8.7,16.2,8.7 - 16.2,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,17.8,15.3,20.5,15.3 - 20.5,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.7,6.9,8.5,6.9 - 8.5,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,11.2,9.1,13.6,9.1 - 13.6,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.2,4.2,8.7,4.2 - 8.7,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,12.5,9.7,15.7,9.7 - 15.7,,,
Uninsured at the Time of Interview,By Education,United States,Less than a high school diploma,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,26.3,20.8,32.4,20.8 - 32.4,,,
Uninsured at the Time of Interview,By Education,United States,High school diploma or GED,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,15.0,13.4,16.7,13.4 - 16.7,,,
Uninsured at the Time of Interview,By Education,United States,Some college/Associate's degree,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9.5,8.7,10.4,8.7 - 10.4,,,
Uninsured at the Time of Interview,By Education,United States,Bachelor's degree or higher,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,3.6,3.1,4.1,3.1 - 4.1,,,
Uninsured at the Time of Interview,By Disability status,United States,With disability,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,13.5,11.2,16.0,11.2 - 16.0,,,
Uninsured at the Time of Interview,By Disability status,United States,Without disability,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9.2,8.4,10.0,8.4 - 10.0,,,
Uninsured at the Time of Interview,By State,Alabama,Alabama,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,10.6,6.4,16.1,6.4 - 16.1,7.9-12.0,3,
Uninsured at the Time of Interview,By State,Alaska,Alaska,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,13.3,9.3,18.2,9.3 - 18.2,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Arizona,Arizona,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,14.0,9.8,19.1,9.8 - 19.1,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Arkansas,Arkansas,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,8.1,5.5,11.3,5.5 - 11.3,7.9-12.0,3,
Uninsured at the Time of Interview,By State,California,California,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.4,5.4,9.8,5.4 - 9.8,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Colorado,Colorado,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,4.6,2.6,7.3,2.6 - 7.3,<=6.1,1,
Uninsured at the Time of Interview,By State,Connecticut,Connecticut,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.3,4.2,11.6,4.2 - 11.6,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Delaware,Delaware,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,District of Columbia,District of Columbia,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Florida,Florida,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,13.4,10.2,17.3,10.2 - 17.3,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Georgia,Georgia,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,19.8,15.0,25.4,15.0 - 25.4,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Hawaii,Hawaii,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Idaho,Idaho,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,9.2,5.9,13.4,5.9 - 13.4,7.9-12.0,3,
Uninsured at the Time of Interview,By State,Illinois,Illinois,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.7,4.5,11.9,4.5 - 11.9,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Indiana,Indiana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Iowa,Iowa,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,4.5,2.3,7.8,2.3 - 7.8,<=6.1,1,
Uninsured at the Time of Interview,By State,Kansas,Kansas,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,10.8,6.5,16.6,6.5 - 16.6,7.9-12.0,3,
Uninsured at the Time of Interview,By State,Kentucky,Kentucky,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.5,3.4,11.1,3.4 - 11.1,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Louisiana,Louisiana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,11.8,6.6,19.1,6.6 - 19.1,7.9-12.0,3,
Uninsured at the Time of Interview,By State,Maine,Maine,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,4.3,2.3,7.3,2.3 - 7.3,<=6.1,1,
Uninsured at the Time of Interview,By State,Maryland,Maryland,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.2,3.8,9.3,3.8 - 9.3,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Massachusetts,Massachusetts,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,4.1,2.2,6.8,2.2 - 6.8,<=6.1,1,
Uninsured at the Time of Interview,By State,Michigan,Michigan,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.1,3.8,9.2,3.8 - 9.2,<=6.1,1,
Uninsured at the Time of Interview,By State,Minnesota,Minnesota,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,5.6,3.1,9.1,3.1 - 9.1,<=6.1,1,
Uninsured at the Time of Interview,By State,Mississippi,Mississippi,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,23.7,15.7,33.3,15.7 - 33.3,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Missouri,Missouri,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,14.1,10.4,18.6,10.4 - 18.6,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Montana,Montana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,12.0,6.2,20.3,6.2 - 20.3,7.9-12.0,3,
Uninsured at the Time of Interview,By State,Nebraska,Nebraska,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.6,4.1,12.6,4.1 - 12.6,6.2-7.8,2,
Uninsured at the Time of Interview,By State,Nevada,Nevada,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,13.9,9.7,19.0,9.7 - 19.0,12.1-23.7,4,
Uninsured at the Time of Interview,By State,New Hampshire,New Hampshire,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,5.5,3.2,8.8,3.2 - 8.8,<=6.1,1,
Uninsured at the Time of Interview,By State,New Jersey,New Jersey,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.4,5.1,10.2,5.1 - 10.2,6.2-7.8,2,
Uninsured at the Time of Interview,By State,New Mexico,New Mexico,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.7,4.1,10.3,4.1 - 10.3,6.2-7.8,2,
Uninsured at the Time of Interview,By State,New York,New York,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.3,3.6,10.1,3.6 - 10.1,6.2-7.8,2,
Uninsured at the Time of Interview,By State,North Carolina,North Carolina,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,11.7,8.2,16.1,8.2 - 16.1,7.9-12.0,3,
Uninsured at the Time of Interview,By State,North Dakota,North Dakota,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Ohio,Ohio,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,6.1,3.5,10.0,3.5 - 10.0,<=6.1,1,
Uninsured at the Time of Interview,By State,Oklahoma,Oklahoma,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,21.3,15.2,28.6,15.2 - 28.6,12.1-23.7,4,
Uninsured at the Time of Interview,By State,Oregon,Oregon,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,7.7,5.5,10.4,5.5 - 10.4,6.2-7.8,2,
